"(0.5720000000000001, 0.76)"
"(0.8099999999999999, 0.76)"
"(0.06727272727272728, 0.5650000000000001)"
"(0.34, 0.27)"
"(0.11481934731934731, 0.6357692307692309)"
"(0.38061224489795925, 0.6383673469387755)"
"(0.24895833333333334, 0.5541666666666667)"
"(0.27499999999999997, 0.47500000000000003)"
"(0.09341269841269839, 0.5718253968253968)"
"(0.3983333333333333, 0.5866666666666667)"
"(-0.15625, 0.75)"
"(0.27386363636363636, 0.39602272727272725)"
"(0.35574074074074075, 0.5677777777777778)"
"(0.04038461538461539, 0.31025641025641026)"
"(0.023166666666666676, 0.4012777777777778)"
"(0.31875000000000003, 0.59375)"
"(0.2833333333333333, 0.45)"
"(0.12111111111111113, 0.6333333333333333)"
"(0.3, 0.6071428571428571)"
"(0.1375, 0.825)"
"(0.24545454545454548, 0.6749999999999999)"
"(0.5199999999999999, 0.6199999999999999)"
"(0.22642045454545456, 0.6120265151515151)"
"(0.007539682539682533, 0.5948412698412698)"
"(0.34920634920634924, 0.4150793650793651)"
"(0.4428571428571429, 0.7178571428571429)"
"(0.5208333333333334, 0.5333333333333333)"
"(0.267027972027972, 0.43419580419580417)"
"(0.9, 0.9)"
"(0.46416666666666667, 0.64)"
"(0.5050000000000001, 0.31999999999999995)"
"(-0.10009920634920633, 0.5370039682539683)"
"(0.4433884297520661, 0.49504132231404957)"
"(0.45999999999999996, 0.54)"
"(0.75, 0.88125)"
"(0.26906862745098037, 0.4088235294117647)"
"(0.4097159090909091, 0.58375)"
"(0.2934659090909091, 0.41363636363636364)"
"(0.11499999999999999, 0.635)"
"(0.6, 0.55)"
"(0.19374999999999998, 0.275)"
"(0.37976190476190474, 0.6928571428571428)"
"(0.2357142857142857, 0.5142857142857142)"
"(0.4361111111111111, 0.6805555555555555)"
"(0.44090909090909086, 0.5818181818181819)"
"(0.45, 0.4625)"
"(0.6416666666666667, 0.7000000000000001)"
"(0.5037037037037037, 0.4740740740740741)"
"(0.6583333333333333, 0.6583333333333333)"
"(0.48775510204081635, 0.6183673469387755)"
"(0.25, 0.48124999999999996)"
"(0.9166666666666666, 0.7333333333333333)"
"(0.6, 0.53)"
"(0.20624999999999996, 0.3)"
"(0.21904761904761907, 0.6904761904761906)"
"(0.18, 0.41000000000000003)"
"(0.4458333333333333, 0.6083333333333334)"
"(0.13333333333333333, 0.19999999999999998)"
"(0.3305555555555555, 0.6285714285714286)"
"(0.30625, 0.875)"
"(0.725, 0.8375)"
"(0.05110544217687075, 0.489625850340136)"
"(0.2538095238095238, 0.6136507936507936)"
"(0.4375, 0.4625)"
"(0.3666666666666667, 0.5166666666666667)"
"(0.675, 0.605)"
"(0.55, 0.2)"
"(0.6685606060606061, 0.6840909090909091)"
"(0.625, 0.75)"
"(0.5114583333333332, 0.5416666666666666)"
"(0.17857142857142858, 0.5142857142857143)"
"(0.15, 0.325)"
"(0.25625, 0.671875)"
"(0.2630050505050505, 0.6452020202020202)"
"(0.42110389610389604, 0.5048701298701299)"
"(0.6125, 0.2833333333333333)"
"(0.625, 0.6875)"
"(0.1607142857142857, 0.7180059523809523)"
"(0.3666666666666667, 0.43333333333333335)"
"(0.325, 0.5666666666666667)"
"(0.037500000000000006, 0.4)"
"(0.7333333333333334, 0.7999999999999999)"
"(0.5, 0.7333333333333333)"
"(0.2729166666666667, 0.6416666666666667)"
"(0.04285714285714285, 0.5075396825396826)"
"(0.08583333333333334, 0.45999999999999996)"
"(0.3985119047619048, 0.6172619047619048)"
"(0.37142857142857144, 0.44285714285714284)"
"(0.3314935064935065, 0.65)"
"(0.38875000000000004, 0.61)"
"(0.3326666666666667, 0.7177777777777777)"
"(0.3125, 0.46875)"
"(0.2636363636363636, 0.4871212121212121)"
"(0.125, 0.48)"
"(0.11709183673469388, 0.6038265306122449)"
"(0.36, 0.5700000000000001)"
"(0.7666666666666666, 0.75)"
"(0.425, 0.43125)"
"(0.58, 0.6400000000000001)"
"(0.5, 0.5)"
"(-0.010999999999999973, 0.5933333333333334)"
"(0.3946428571428572, 0.5964285714285715)"
"(0.35634920634920636, 0.4984126984126984)"
"(0.37083333333333335, 0.6000000000000001)"
"(0.33549999999999996, 0.602)"
"(0.24111607142857147, 0.6146626984126985)"
"(0.4277777777777778, 0.7388888888888889)"
"(0.21250000000000002, 0.525)"
"(0.2538265306122449, 0.5387755102040817)"
"(0.3821428571428572, 0.6214285714285713)"
